         ps   /test_ring_counter_6bit/button1  /test_ring_counter_6bit/led5           
                   /test_ring_counter_6bit/led1  /test_ring_counter_6bit/led6         
                     /test_ring_counter_6bit/led2                                     
                       /test_ring_counter_6bit/led3                                   
                         /test_ring_counter_6bit/led4                                 
       2530                                 0 1 0 0 0                     0 0 
       2540                                 1 0 1 0 0                     0 0 
       2550                                 0 0 1 0 0                     0 0 
       2560                                 1 0 0 1 0                     0 0 
       2570                                 0 0 0 1 0                     0 0 
       2580                                 1 0 0 0 1                     0 0 
       2590                                 0 0 0 0 1                     0 0 
       2600                                 1 0 0 0 0                     1 0 
       2610                                 0 0 0 0 0                     1 0 
       2620                                 1 0 0 0 0                     0 1 
       2630                                 0 0 0 0 0                     0 1 
       2640                                 1 1 0 0 0                     0 0 
       2650                                 0 1 0 0 0                     0 0 
       2660                                 1 0 1 0 0                     0 0 
       2670                                 0 0 1 0 0                     0 0 
       2680                                 1 0 0 1 0                     0 0 
       2690                                 0 0 0 1 0                     0 0 
       2700                                 1 0 0 0 1                     0 0 
       2710                                 0 0 0 0 1                     0 0 
       2720                                 1 0 0 0 0                     1 0 
       2730                                 0 0 0 0 0                     1 0 
       2740                                 1 0 0 0 0                     0 1 
       2750                                 0 0 0 0 0                     0 1 
       2760                                 1 1 0 0 0                     0 0 
       2770                                 0 1 0 0 0                     0 0 
       2780                                 1 0 1 0 0                     0 0 
       2790                                 0 0 1 0 0                     0 0 
       2800                                 1 0 0 1 0                     0 0 
       2810                                 0 0 0 1 0                     0 0 
       2820                                 1 0 0 0 1                     0 0 
       2830                                 0 0 0 0 1                     0 0 
       2840                                 1 0 0 0 0                     1 0 
       2850                                 0 0 0 0 0                     1 0 
       2860                                 1 0 0 0 0                     0 1 
       2870                                 0 0 0 0 0                     0 1 
       2880                                 1 1 0 0 0                     0 0 
       2890                                 0 1 0 0 0                     0 0 
       2900                                 1 0 1 0 0                     0 0 
       2910                                 0 0 1 0 0                     0 0 
       2920                                 1 0 0 1 0                     0 0 
       2930                                 0 0 0 1 0                     0 0 
       2940                                 1 0 0 0 1                     0 0 
       2950                                 0 0 0 0 1                     0 0 
       2960                                 1 0 0 0 0                     1 0 
       2970                                 0 0 0 0 0                     1 0 
       2980                                 1 0 0 0 0                     0 1 
       2990                                 0 0 0 0 0                     0 1 
       3000                                 1 1 0 0 0                     0 0 
       3010                                 0 1 0 0 0                     0 0 
       3020                                 1 0 1 0 0                     0 0 
       3030                                 0 0 1 0 0                     0 0 
       3040                                 1 0 0 1 0                     0 0 
       3050                                 0 0 0 1 0                     0 0 
       3060                                 1 0 0 0 1                     0 0 
       3070                                 0 0 0 0 1                     0 0 
       3080                                 1 0 0 0 0                     1 0 
       3090                                 0 0 0 0 0                     1 0 
       3100                                 1 0 0 0 0                     0 1 
       3110                                 0 0 0 0 0                     0 1 
       3120                                 1 1 0 0 0                     0 0 
       3130                                 0 1 0 0 0                     0 0 
       3140                                 1 0 1 0 0                     0 0 
       3150                                 0 0 1 0 0                     0 0 
       3160                                 1 0 0 1 0                     0 0 
       3170                                 0 0 0 1 0                     0 0 
       3180                                 1 0 0 0 1                     0 0 
       3190                                 0 0 0 0 1                     0 0 
       3200                                 1 0 0 0 0                     1 0 
       3210                                 0 0 0 0 0                     1 0 
       3220                                 1 0 0 0 0                     0 1 
       3230                                 0 0 0 0 0                     0 1 
       3240                                 1 1 0 0 0                     0 0 
       3250                                 0 1 0 0 0                     0 0 
