         ps   /test_shiftregistersipo_4bit/button1  /test_shiftregistersipo_4bit/out4        
                    /test_shiftregistersipo_4bit/in1                                         
                     /test_shiftregistersipo_4bit/out1                                       
                       /test_shiftregistersipo_4bit/out2                                     
                         /test_shiftregistersipo_4bit/out3                                   
       2420                                      0 0 0 1 1                          1 
       2430                                      1 0 0 0 1                          1 
       2440                                      0 0 0 0 1                          1 
       2450                                      1 0 0 0 0                          1 
       2460                                      0 0 0 0 0                          1 
       2470                                      1 0 0 0 0                          0 
       2480                                      0 1 0 0 0                          0 
       2490                                      1 1 1 0 0                          0 
       2500                                      0 1 1 0 0                          0 
       2510                                      1 1 1 1 0                          0 
       2520                                      0 1 1 1 0                          0 
       2530                                      1 1 1 1 1                          0 
       2540                                      0 1 1 1 1                          0 
       2550                                      1 1 1 1 1                          1 
       2560                                      0 0 1 1 1                          1 
       2570                                      1 0 0 1 1                          1 
       2580                                      0 0 0 1 1                          1 
       2590                                      1 0 0 0 1                          1 
       2600                                      0 0 0 0 1                          1 
       2610                                      1 0 0 0 0                          1 
       2620                                      0 0 0 0 0                          1 
       2630                                      1 0 0 0 0                          0 
       2640                                      0 1 0 0 0                          0 
       2650                                      1 1 1 0 0                          0 
       2660                                      0 1 1 0 0                          0 
       2670                                      1 1 1 1 0                          0 
       2680                                      0 1 1 1 0                          0 
       2690                                      1 1 1 1 1                          0 
       2700                                      0 1 1 1 1                          0 
       2710                                      1 1 1 1 1                          1 
       2720                                      0 0 1 1 1                          1 
       2730                                      1 0 0 1 1                          1 
       2740                                      0 0 0 1 1                          1 
       2750                                      1 0 0 0 1                          1 
       2760                                      0 0 0 0 1                          1 
       2770                                      1 0 0 0 0                          1 
       2780                                      0 0 0 0 0                          1 
       2790                                      1 0 0 0 0                          0 
       2800                                      0 1 0 0 0                          0 
       2810                                      1 1 1 0 0                          0 
       2820                                      0 1 1 0 0                          0 
       2830                                      1 1 1 1 0                          0 
       2840                                      0 1 1 1 0                          0 
       2850                                      1 1 1 1 1                          0 
       2860                                      0 1 1 1 1                          0 
       2870                                      1 1 1 1 1                          1 
       2880                                      0 0 1 1 1                          1 
       2890                                      1 0 0 1 1                          1 
       2900                                      0 0 0 1 1                          1 
       2910                                      1 0 0 0 1                          1 
       2920                                      0 0 0 0 1                          1 
       2930                                      1 0 0 0 0                          1 
       2940                                      0 0 0 0 0                          1 
       2950                                      1 0 0 0 0                          0 
       2960                                      0 1 0 0 0                          0 
       2970                                      1 1 1 0 0                          0 
       2980                                      0 1 1 0 0                          0 
       2990                                      1 1 1 1 0                          0 
       3000                                      0 1 1 1 0                          0 
       3010                                      1 1 1 1 1                          0 
       3020                                      0 1 1 1 1                          0 
       3030                                      1 1 1 1 1                          1 
       3040                                      0 0 1 1 1                          1 
       3050                                      1 0 0 1 1                          1 
       3060                                      0 0 0 1 1                          1 
       3070                                      1 0 0 0 1                          1 
       3080                                      0 0 0 0 1                          1 
       3090                                      1 0 0 0 0                          1 
       3100                                      0 0 0 0 0                          1 
       3110                                      1 0 0 0 0                          0 
       3120                                      0 1 0 0 0                          0 
       3130                                      1 1 1 0 0                          0 
       3140                                      0 1 1 0 0                          0 
       3150                                      1 1 1 1 0                          0 
       3160                                      0 1 1 1 0                          0 
       3170                                      1 1 1 1 1                          0 
       3180                                      0 1 1 1 1                          0 
       3190                                      1 1 1 1 1                          1 
       3200                                      0 0 1 1 1                          1 
       3210                                      1 0 0 1 1                          1 
       3220                                      0 0 0 1 1                          1 
       3230                                      1 0 0 0 1                          1 
       3240                                      0 0 0 0 1                          1 
       3250                                      1 0 0 0 0                          1 
       3260                                      0 0 0 0 0                          1 
       3270                                      1 0 0 0 0                          0 
       3280                                      0 1 0 0 0                          0 
       3290                                      1 1 1 0 0                          0 
       3300                                      0 1 1 0 0                          0 
       3310                                      1 1 1 1 0                          0 
       3320                                      0 1 1 1 0                          0 
       3330                                      1 1 1 1 1                          0 
       3340                                      0 1 1 1 1                          0 
       3350                                      1 1 1 1 1                          1 
       3360                                      0 0 1 1 1                          1 
       3370                                      1 0 0 1 1                          1 
       3380                                      0 0 0 1 1                          1 
       3390                                      1 0 0 0 1                          1 
       3400                                      0 0 0 0 1                          1 
       3410                                      1 0 0 0 0                          1 
       3420                                      0 0 0 0 0                          1 
       3430                                      1 0 0 0 0                          0 
       3440                                      0 1 0 0 0                          0 
       3450                                      1 1 1 0 0                          0 
       3460                                      0 1 1 0 0                          0 
       3470                                      1 1 1 1 0                          0 
       3480                                      0 1 1 1 0                          0 
       3490                                      1 1 1 1 1                          0 
       3500                                      0 1 1 1 1                          0 
       3510                                      1 1 1 1 1                          1 
       3520                                      0 0 1 1 1                          1 
       3530                                      1 0 0 1 1                          1 
       3540                                      0 0 0 1 1                          1 
       3550                                      1 0 0 0 1                          1 
       3560                                      0 0 0 0 1                          1 
       3570                                      1 0 0 0 0                          1 
       3580                                      0 0 0 0 0                          1 
       3590                                      1 0 0 0 0                          0 
       3600                                      0 1 0 0 0                          0 
       3610                                      1 1 1 0 0                          0 
       3620                                      0 1 1 0 0                          0 
       3630                                      1 1 1 1 0                          0 
       3640                                      0 1 1 1 0                          0 
       3650                                      1 1 1 1 1                          0 
       3660                                      0 1 1 1 1                          0 
       3670                                      1 1 1 1 1                          1 
       3680                                      0 0 1 1 1                          1 
       3690                                      1 0 0 1 1                          1 
       3700                                      0 0 0 1 1                          1 
       3710                                      1 0 0 0 1                          1 
       3720                                      0 0 0 0 1                          1 
       3730                                      1 0 0 0 0                          1 
       3740                                      0 0 0 0 0                          1 
       3750                                      1 0 0 0 0                          0 
       3760                                      0 1 0 0 0                          0 
       3770                                      1 1 1 0 0                          0 
       3780                                      0 1 1 0 0                          0 
       3790                                      1 1 1 1 0                          0 
       3800                                      0 1 1 1 0                          0 
       3810                                      1 1 1 1 1                          0 
       3820                                      0 1 1 1 1                          0 
       3830                                      1 1 1 1 1                          1 
       3840                                      0 0 1 1 1                          1 
       3850                                      1 0 0 1 1                          1 
       3860                                      0 0 0 1 1                          1 
       3870                                      1 0 0 0 1                          1 
       3880                                      0 0 0 0 1                          1 
       3890                                      1 0 0 0 0                          1 
       3900                                      0 0 0 0 0                          1 
       3910                                      1 0 0 0 0                          0 
       3920                                      0 1 0 0 0                          0 
       3930                                      1 1 1 0 0                          0 
       3940                                      0 1 1 0 0                          0 
       3950                                      1 1 1 1 0                          0 
       3960                                      0 1 1 1 0                          0 
       3970                                      1 1 1 1 1                          0 
       3980                                      0 1 1 1 1                          0 
       3990                                      1 1 1 1 1                          1 
       4000                                      0 0 1 1 1                          1 
       4010                                      1 0 0 1 1                          1 
       4020                                      0 0 0 1 1                          1 
       4030                                      1 0 0 0 1                          1 
       4040                                      0 0 0 0 1                          1 
       4050                                      1 0 0 0 0                          1 
       4060                                      0 0 0 0 0                          1 
       4070                                      1 0 0 0 0                          0 
       4080                                      0 1 0 0 0                          0 
       4090                                      1 1 1 0 0                          0 
       4100                                      0 1 1 0 0                          0 
       4110                                      1 1 1 1 0                          0 
       4120                                      0 1 1 1 0                          0 
       4130                                      1 1 1 1 1                          0 
       4140                                      0 1 1 1 1                          0 
       4150                                      1 1 1 1 1                          1 
       4160                                      0 0 1 1 1                          1 
       4170                                      1 0 0 1 1                          1 
       4180                                      0 0 0 1 1                          1 
       4190                                      1 0 0 0 1                          1 
       4200                                      0 0 0 0 1                          1 
       4210                                      1 0 0 0 0                          1 
       4220                                      0 0 0 0 0                          1 
       4230                                      1 0 0 0 0                          0 
       4240                                      0 1 0 0 0                          0 
       4250                                      1 1 1 0 0                          0 
       4260                                      0 1 1 0 0                          0 
       4270                                      1 1 1 1 0                          0 
       4280                                      0 1 1 1 0                          0 
       4290                                      1 1 1 1 1                          0 
       4300                                      0 1 1 1 1                          0 
       4310                                      1 1 1 1 1                          1 
       4320                                      0 0 1 1 1                          1 
       4330                                      1 0 0 1 1                          1 
       4340                                      0 0 0 1 1                          1 
       4350                                      1 0 0 0 1                          1 
       4360                                      0 0 0 0 1                          1 
       4370                                      1 0 0 0 0                          1 
       4380                                      0 0 0 0 0                          1 
       4390                                      1 0 0 0 0                          0 
       4400                                      0 1 0 0 0                          0 
       4410                                      1 1 1 0 0                          0 
       4420                                      0 1 1 0 0                          0 
       4430                                      1 1 1 1 0                          0 
       4440                                      0 1 1 1 0                          0 
       4450                                      1 1 1 1 1                          0 
       4460                                      0 1 1 1 1                          0 
       4470                                      1 1 1 1 1                          1 
       4480                                      0 0 1 1 1                          1 
       4490                                      1 0 0 1 1                          1 
       4500                                      0 0 0 1 1                          1 
       4510                                      1 0 0 0 1                          1 
       4520                                      0 0 0 0 1                          1 
       4530                                      1 0 0 0 0                          1 
       4540                                      0 0 0 0 0                          1 
       4550                                      1 0 0 0 0                          0 
       4560                                      0 1 0 0 0                          0 
       4570                                      1 1 1 0 0                          0 
       4580                                      0 1 1 0 0                          0 
       4590                                      1 1 1 1 0                          0 
       4600                                      0 1 1 1 0                          0 
       4610                                      1 1 1 1 1                          0 
       4620                                      0 1 1 1 1                          0 
       4630                                      1 1 1 1 1                          1 
       4640                                      0 0 1 1 1                          1 
       4650                                      1 0 0 1 1                          1 
       4660                                      0 0 0 1 1                          1 
       4670                                      1 0 0 0 1                          1 
       4680                                      0 0 0 0 1                          1 
       4690                                      1 0 0 0 0                          1 
       4700                                      0 0 0 0 0                          1 
       4710                                      1 0 0 0 0                          0 
       4720                                      0 1 0 0 0                          0 
       4730                                      1 1 1 0 0                          0 
       4740                                      0 1 1 0 0                          0 
       4750                                      1 1 1 1 0                          0 
       4760                                      0 1 1 1 0                          0 
       4770                                      1 1 1 1 1                          0 
       4780                                      0 1 1 1 1                          0 
       4790                                      1 1 1 1 1                          1 
       4800                                      0 0 1 1 1                          1 
       4810                                      1 0 0 1 1                          1 
       4820                                      0 0 0 1 1                          1 
       4830                                      1 0 0 0 1                          1 
       4840                                      0 0 0 0 1                          1 
       4850                                      1 0 0 0 0                          1 
       4860                                      0 0 0 0 0                          1 
       4870                                      1 0 0 0 0                          0 
       4880                                      0 1 0 0 0                          0 
       4890                                      1 1 1 0 0                          0 
       4900                                      0 1 1 0 0                          0 
       4910                                      1 1 1 1 0                          0 
       4920                                      0 1 1 1 0                          0 
       4930                                      1 1 1 1 1                          0 
       4940                                      0 1 1 1 1                          0 
       4950                                      1 1 1 1 1                          1 
       4960                                      0 0 1 1 1                          1 
       4970                                      1 0 0 1 1                          1 
       4980                                      0 0 0 1 1                          1 
       4990                                      1 0 0 0 1                          1 
       5000                                      0 0 0 0 1                          1 
       5010                                      1 0 0 0 0                          1 
       5020                                      0 0 0 0 0                          1 
       5030                                      1 0 0 0 0                          0 
       5040                                      0 1 0 0 0                          0 
       5050                                      1 1 1 0 0                          0 
       5060                                      0 1 1 0 0                          0 
       5070                                      1 1 1 1 0                          0 
       5080                                      0 1 1 1 0                          0 
       5090                                      1 1 1 1 1                          0 
       5100                                      0 1 1 1 1                          0 
       5110                                      1 1 1 1 1                          1 
