         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
      36305                                    1 1 1 1 
      36307                                    0 1 1 1 
      36309                                    1 0 1 1 
      36311                                    0 0 1 1 
      36315                                    1 1 0 1 
      36316                                    0 1 0 1 
      36317                                    1 0 0 1 
      36318                                    0 0 0 1 
      36320                                    1 1 1 0 
      36322                                    0 1 1 0 
      36323                                    1 0 1 0 
      36324                                    0 0 1 0 
      36326                                    1 1 0 0 
      36328                                    0 1 0 0 
      36333                                    1 0 0 0 
      36334                                    0 0 0 0 
      36335                                    1 1 1 1 
      36336                                    0 1 1 1 
      36345                                    1 0 1 1 
      36346                                    0 0 1 1 
      36347                                    1 1 0 1 
      36348                                    0 1 0 1 
      36349                                    1 0 0 1 
      36350                                    0 0 0 1 
      36353                                    1 1 1 0 
      36355                                    0 1 1 0 
      36356                                    1 0 1 0 
      36358                                    0 0 1 0 
      36359                                    1 1 0 0 
      36361                                    0 1 0 0 
      36363                                    1 0 0 0 
      36365                                    0 0 0 0 
      36366                                    1 1 1 1 
      36367                                    0 1 1 1 
      36368                                    1 0 1 1 
      36369                                    0 0 1 1 
      36370                                    1 1 0 1 
      36371                                    0 1 0 1 
      36373                                    1 0 0 1 
      36375                                    0 0 0 1 
      36376                                    1 1 1 0 
      36378                                    0 1 1 0 
      36383                                    1 0 1 0 
      36384                                    0 0 1 0 
      36385                                    1 1 0 0 
      36386                                    0 1 0 0 
      36387                                    1 0 0 0 
      36395                                    0 0 0 0 
      36396                                    1 1 1 1 
      36398                                    0 1 1 1 
      36403                                    1 0 1 1 
      36404                                    0 0 1 1 
      36405                                    1 1 0 1 
      36406                                    0 1 0 1 
      36407                                    1 0 0 1 
      36408                                    0 0 0 1 
      36409                                    1 1 1 0 
      36410                                    0 1 1 0 
      36412                                    1 0 1 0 
      36413                                    0 0 1 0 
      36415                                    1 1 0 0 
      36418                                    0 1 0 0 
      36419                                    1 0 0 0 
      36420                                    0 0 0 0 
      36424                                    1 1 1 1 
      36426                                    0 1 1 1 
      36428                                    1 0 1 1 
      36430                                    0 0 1 1 
      36431                                    1 1 0 1 
      36433                                    0 1 0 1 
      36435                                    1 0 0 1 
      36444                                    0 0 0 1 
      36445                                    1 1 1 0 
      36446                                    0 1 1 0 
      36451                                    1 0 1 0 
      36454                                    0 0 1 0 
      36458                                    1 1 0 0 
      36459                                    0 1 0 0 
      36460                                    1 0 0 0 
      36461                                    0 0 0 0 
      36465                                    1 1 1 1 
      36469                                    0 1 1 1 
      36473                                    1 0 1 1 
      36476                                    0 0 1 1 
      36479                                    1 1 0 1 
      36481                                    0 1 0 1 
      36483                                    1 0 0 1 
      36484                                    0 0 0 1 
      36486                                    1 1 1 0 
      36487                                    0 1 1 0 
      36490                                    1 0 1 0 
      36491                                    0 0 1 0 
      36497                                    1 1 0 0 
      36499                                    0 1 0 0 
      36500                                    1 0 0 0 
      36501                                    0 0 0 0 
      36502                                    1 1 1 1 
      36503                                    0 1 1 1 
      36507                                    1 0 1 1 
      36511                                    0 0 1 1 
      36513                                    1 1 0 1 
      36514                                    0 1 0 1 
      36519                                    1 0 0 1 
      36523                                    0 0 0 1 
      36525                                    1 1 1 0 
      36526                                    0 1 1 0 
      36527                                    1 0 1 0 
      36530                                    0 0 1 0 
      36532                                    1 1 0 0 
      36533                                    0 1 0 0 
      36534                                    1 0 0 0 
      36538                                    0 0 0 0 
      36539                                    1 1 1 1 
      36540                                    0 1 1 1 
      36541                                    1 0 1 1 
      36542                                    0 0 1 1 
      36543                                    1 1 0 1 
      36544                                    0 1 0 1 
      36545                                    1 0 0 1 
      36547                                    0 0 0 1 
      36548                                    1 1 1 0 
      36549                                    0 1 1 0 
      36550                                    1 0 1 0 
      36552                                    0 0 1 0 
      36553                                    1 1 0 0 
      36554                                    0 1 0 0 
      36556                                    1 0 0 0 
      36558                                    0 0 0 0 
      36560                                    1 1 1 1 
      36561                                    0 1 1 1 
      36562                                    1 0 1 1 
      36563                                    0 0 1 1 
      36564                                    1 1 0 1 
      36565                                    0 1 0 1 
      36570                                    1 0 0 1 
      36571                                    0 0 0 1 
      36573                                    1 1 1 0 
      36576                                    0 1 1 0 
      36577                                    1 0 1 0 
      36580                                    0 0 1 0 
      36585                                    1 1 0 0 
      36587                                    0 1 0 0 
      36588                                    1 0 0 0 
      36590                                    0 0 0 0 
      36591                                    1 1 1 1 
      36592                                    0 1 1 1 
      36593                                    1 0 1 1 
      36595                                    0 0 1 1 
      36596                                    1 1 0 1 
      36598                                    0 1 0 1 
      36601                                    1 0 0 1 
      36602                                    0 0 0 1 
      36604                                    1 1 1 0 
      36607                                    0 1 1 0 
      36612                                    1 0 1 0 
      36614                                    0 0 1 0 
      36617                                    1 1 0 0 
      36620                                    0 1 0 0 
      36621                                    1 0 0 0 
      36622                                    0 0 0 0 
      36626                                    1 1 1 1 
      36627                                    0 1 1 1 
      36633                                    1 0 1 1 
      36635                                    0 0 1 1 
      36639                                    1 1 0 1 
      36641                                    0 1 0 1 
      36642                                    1 0 0 1 
      36644                                    0 0 0 1 
      36646                                    1 1 1 0 
      36650                                    0 1 1 0 
      36651                                    1 0 1 0 
      36658                                    0 0 1 0 
      36661                                    1 1 0 0 
      36662                                    0 1 0 0 
      36664                                    1 0 0 0 
      36668                                    0 0 0 0 
      36671                                    1 1 1 1 
      36672                                    0 1 1 1 
      36674                                    1 0 1 1 
      36677                                    0 0 1 1 
      36678                                    1 1 0 1 
      36679                                    0 1 0 1 
      36681                                    1 0 0 1 
      36683                                    0 0 0 1 
      36684                                    1 1 1 0 
      36685                                    0 1 1 0 
      36686                                    1 0 1 0 
      36687                                    0 0 1 0 
      36689                                    1 1 0 0 
      36690                                    0 1 0 0 
      36691                                    1 0 0 0 
      36693                                    0 0 0 0 
      36695                                    1 1 1 1 
      36698                                    0 1 1 1 
      36702                                    1 0 1 1 
      36708                                    0 0 1 1 
      36709                                    1 1 0 1 
      36713                                    0 1 0 1 
      36715                                    1 0 0 1 
      36716                                    0 0 0 1 
      36718                                    1 1 1 0 
      36721                                    0 1 1 0 
      36722                                    1 0 1 0 
      36729                                    0 0 1 0 
      36732                                    1 1 0 0 
      36733                                    0 1 0 0 
      36734                                    1 0 0 0 
      36735                                    0 0 0 0 
      36737                                    1 1 1 1 
      36739                                    0 1 1 1 
      36740                                    1 0 1 1 
      36742                                    0 0 1 1 
      36743                                    1 1 0 1 
      36744                                    0 1 0 1 
      36749                                    1 0 0 1 
      36750                                    0 0 0 1 
      36764                                    1 1 1 0 
      36767                                    0 1 1 0 
      36770                                    1 0 1 0 
      36771                                    0 0 1 0 
      36774                                    1 1 0 0 
      36782                                    0 1 0 0 
      36783                                    1 0 0 0 
      36784                                    0 0 0 0 
      36789                                    1 1 1 1 
      36794                                    0 1 1 1 
      36796                                    1 0 1 1 
      36800                                    0 0 1 1 
      36801                                    1 1 0 1 
      36806                                    0 1 0 1 
      36808                                    1 0 0 1 
      36809                                    0 0 0 1 
      36810                                    1 1 1 0 
      36813                                    0 1 1 0 
      36815                                    1 0 1 0 
      36818                                    0 0 1 0 
      36820                                    1 1 0 0 
      36821                                    0 1 0 0 
      36824                                    1 0 0 0 
      36825                                    0 0 0 0 
      36827                                    1 1 1 1 
      36828                                    0 1 1 1 
      36830                                    1 0 1 1 
      36834                                    0 0 1 1 
      36835                                    1 1 0 1 
      36837                                    0 1 0 1 
      36839                                    1 0 0 1 
      36840                                    0 0 0 1 
      36842                                    1 1 1 0 
      36849                                    0 1 1 0 
      36850                                    1 0 1 0 
      36854                                    0 0 1 0 
      36855                                    1 1 0 0 
      36856                                    0 1 0 0 
      36857                                    1 0 0 0 
      36861                                    0 0 0 0 
      36862                                    1 1 1 1 
      36865                                    0 1 1 1 
      36869                                    1 0 1 1 
      36871                                    0 0 1 1 
      36872                                    1 1 0 1 
      36874                                    0 1 0 1 
      36875                                    1 0 0 1 
      36876                                    0 0 0 1 
      36877                                    1 1 1 0 
      36878                                    0 1 1 0 
      36879                                    1 0 1 0 
      36880                                    0 0 1 0 
      36881                                    1 1 0 0 
      36882                                    0 1 0 0 
      36884                                    1 0 0 0 
      36885                                    0 0 0 0 
      36887                                    1 1 1 1 
      36889                                    0 1 1 1 
      36892                                    1 0 1 1 
      36893                                    0 0 1 1 
      36895                                    1 1 0 1 
      36896                                    0 1 0 1 
      36897                                    1 0 0 1 
      36899                                    0 0 0 1 
      36900                                    1 1 1 0 
      36903                                    0 1 1 0 
      36904                                    1 0 1 0 
      36905                                    0 0 1 0 
      36906                                    1 1 0 0 
      36907                                    0 1 0 0 
      36910                                    1 0 0 0 
      36912                                    0 0 0 0 
      36913                                    1 1 1 1 
      36914                                    0 1 1 1 
      36915                                    1 0 1 1 
      36917                                    0 0 1 1 
      36918                                    1 1 0 1 
      36919                                    0 1 0 1 
      36920                                    1 0 0 1 
      36921                                    0 0 0 1 
      36922                                    1 1 1 0 
      36923                                    0 1 1 0 
      36925                                    1 0 1 0 
      36929                                    0 0 1 0 
      36932                                    1 1 0 0 
      36934                                    0 1 0 0 
      36936                                    1 0 0 0 
      36937                                    0 0 0 0 
      36938                                    1 1 1 1 
      36939                                    0 1 1 1 
      36952                                    1 0 1 1 
      36954                                    0 0 1 1 
      36955                                    1 1 0 1 
      36956                                    0 1 0 1 
      36963                                    1 0 0 1 
      36964                                    0 0 0 1 
      36965                                    1 1 1 0 
      36966                                    0 1 1 0 
      36968                                    1 0 1 0 
      36970                                    0 0 1 0 
      36971                                    1 1 0 0 
      36975                                    0 1 0 0 
      36977                                    1 0 0 0 
      36978                                    0 0 0 0 
      36980                                    1 1 1 1 
      36981                                    0 1 1 1 
      36982                                    1 0 1 1 
      36983                                    0 0 1 1 
      36985                                    1 1 0 1 
      36986                                    0 1 0 1 
      36990                                    1 0 0 1 
      36991                                    0 0 0 1 
      36992                                    1 1 1 0 
      36994                                    0 1 1 0 
      36997                                    1 0 1 0 
      36998                                    0 0 1 0 
      36999                                    1 1 0 0 
      37001                                    0 1 0 0 
      37002                                    1 0 0 0 
      37004                                    0 0 0 0 
      37007                                    1 1 1 1 
      37008                                    0 1 1 1 
      37010                                    1 0 1 1 
      37011                                    0 0 1 1 
      37015                                    1 1 0 1 
      37017                                    0 1 0 1 
      37018                                    1 0 0 1 
      37022                                    0 0 0 1 
      37024                                    1 1 1 0 
      37026                                    0 1 1 0 
      37029                                    1 0 1 0 
      37031                                    0 0 1 0 
      37033                                    1 1 0 0 
      37035                                    0 1 0 0 
      37037                                    1 0 0 0 
      37038                                    0 0 0 0 
      37041                                    1 1 1 1 
      37043                                    0 1 1 1 
      37047                                    1 0 1 1 
      37049                                    0 0 1 1 
      37050                                    1 1 0 1 
      37051                                    0 1 0 1 
      37052                                    1 0 0 1 
      37056                                    0 0 0 1 
      37057                                    1 1 1 0 
      37058                                    0 1 1 0 
      37059                                    1 0 1 0 
      37062                                    0 0 1 0 
      37063                                    1 1 0 0 
      37066                                    0 1 0 0 
      37067                                    1 0 0 0 
      37068                                    0 0 0 0 
      37069                                    1 1 1 1 
      37071                                    0 1 1 1 
      37074                                    1 0 1 1 
      37075                                    0 0 1 1 
      37077                                    1 1 0 1 
      37078                                    0 1 0 1 
      37079                                    1 0 0 1 
      37080                                    0 0 0 1 
      37081                                    1 1 1 0 
      37084                                    0 1 1 0 
      37085                                    1 0 1 0 
      37087                                    0 0 1 0 
      37088                                    1 1 0 0 
      37094                                    0 1 0 0 
      37097                                    1 0 0 0 
      37099                                    0 0 0 0 
      37101                                    1 1 1 1 
      37105                                    0 1 1 1 
      37108                                    1 0 1 1 
      37112                                    0 0 1 1 
      37114                                    1 1 0 1 
      37116                                    0 1 0 1 
      37118                                    1 0 0 1 
      37121                                    0 0 0 1 
      37124                                    1 1 1 0 
      37125                                    0 1 1 0 
      37128                                    1 0 1 0 
      37129                                    0 0 1 0 
      37132                                    1 1 0 0 
      37134                                    0 1 0 0 
      37136                                    1 0 0 0 
      37137                                    0 0 0 0 
      37140                                    1 1 1 1 
      37142                                    0 1 1 1 
      37144                                    1 0 1 1 
      37147                                    0 0 1 1 
      37148                                    1 1 0 1 
      37152                                    0 1 0 1 
      37154                                    1 0 0 1 
      37155                                    0 0 0 1 
      37157                                    1 1 1 0 
      37159                                    0 1 1 0 
      37160                                    1 0 1 0 
      37162                                    0 0 1 0 
      37166                                    1 1 0 0 
      37167                                    0 1 0 0 
      37169                                    1 0 0 0 
      37170                                    0 0 0 0 
      37171                                    1 1 1 1 
      37172                                    0 1 1 1 
      37173                                    1 0 1 1 
      37175                                    0 0 1 1 
      37176                                    1 1 0 1 
      37177                                    0 1 0 1 
      37178                                    1 0 0 1 
      37181                                    0 0 0 1 
      37183                                    1 1 1 0 
      37184                                    0 1 1 0 
      37186                                    1 0 1 0 
      37189                                    0 0 1 0 
      37190                                    1 1 0 0 
      37192                                    0 1 0 0 
      37194                                    1 0 0 0 
      37196                                    0 0 0 0 
      37197                                    1 1 1 1 
      37200                                    0 1 1 1 
      37201                                    1 0 1 1 
      37202                                    0 0 1 1 
      37204                                    1 1 0 1 
      37205                                    0 1 0 1 
      37207                                    1 0 0 1 
      37208                                    0 0 0 1 
      37209                                    1 1 1 0 
      37210                                    0 1 1 0 
      37211                                    1 0 1 0 
      37217                                    0 0 1 0 
      37218                                    1 1 0 0 
      37220                                    0 1 0 0 
      37222                                    1 0 0 0 
      37224                                    0 0 0 0 
      37225                                    1 1 1 1 
      37227                                    0 1 1 1 
      37228                                    1 0 1 1 
      37231                                    0 0 1 1 
      37233                                    1 1 0 1 
      37237                                    0 1 0 1 
      37238                                    1 0 0 1 
      37239                                    0 0 0 1 
      37242                                    1 1 1 0 
      37243                                    0 1 1 0 
      37245                                    1 0 1 0 
      37246                                    0 0 1 0 
      37247                                    1 1 0 0 
      37248                                    0 1 0 0 
      37249                                    1 0 0 0 
      37250                                    0 0 0 0 
      37252                                    1 1 1 1 
      37253                                    0 1 1 1 
      37257                                    1 0 1 1 
      37260                                    0 0 1 1 
      37262                                    1 1 0 1 
      37263                                    0 1 0 1 
      37265                                    1 0 0 1 
      37269                                    0 0 0 1 
      37270                                    1 1 1 0 
      37272                                    0 1 1 0 
      37275                                    1 0 1 0 
      37276                                    0 0 1 0 
      37277                                    1 1 0 0 
      37279                                    0 1 0 0 
      37280                                    1 0 0 0 
      37281                                    0 0 0 0 
      37285                                    1 1 1 1 
      37287                                    0 1 1 1 
      37289                                    1 0 1 1 
      37291                                    0 0 1 1 
      37292                                    1 1 0 1 
      37295                                    0 1 0 1 
      37302                                    1 0 0 1 
      37306                                    0 0 0 1 
      37308                                    1 1 1 0 
      37309                                    0 1 1 0 
      37310                                    1 0 1 0 
      37311                                    0 0 1 0 
      37312                                    1 1 0 0 
      37313                                    0 1 0 0 
      37317                                    1 0 0 0 
      37318                                    0 0 0 0 
      37320                                    1 1 1 1 
      37326                                    0 1 1 1 
      37327                                    1 0 1 1 
      37333                                    0 0 1 1 
      37334                                    1 1 0 1 
      37335                                    0 1 0 1 
      37336                                    1 0 0 1 
      37337                                    0 0 0 1 
      37338                                    1 1 1 0 
      37340                                    0 1 1 0 
      37341                                    1 0 1 0 
      37344                                    0 0 1 0 
      37347                                    1 1 0 0 
      37349                                    0 1 0 0 
      37351                                    1 0 0 0 
      37352                                    0 0 0 0 
      37354                                    1 1 1 1 
      37355                                    0 1 1 1 
      37358                                    1 0 1 1 
      37361                                    0 0 1 1 
      37363                                    1 1 0 1 
      37365                                    0 1 0 1 
      37366                                    1 0 0 1 
      37368                                    0 0 0 1 
      37369                                    1 1 1 0 
      37372                                    0 1 1 0 
      37374                                    1 0 1 0 
      37376                                    0 0 1 0 
      37377                                    1 1 0 0 
      37378                                    0 1 0 0 
      37379                                    1 0 0 0 
      37381                                    0 0 0 0 
      37384                                    1 1 1 1 
      37385                                    0 1 1 1 
      37386                                    1 0 1 1 
      37387                                    0 0 1 1 
      37388                                    1 1 0 1 
      37389                                    0 1 0 1 
      37390                                    1 0 0 1 
      37391                                    0 0 0 1 
      37395                                    1 1 1 0 
      37398                                    0 1 1 0 
      37399                                    1 0 1 0 
      37400                                    0 0 1 0 
      37405                                    1 1 0 0 
      37406                                    0 1 0 0 
      37407                                    1 0 0 0 
      37411                                    0 0 0 0 
      37416                                    1 1 1 1 
      37417                                    0 1 1 1 
      37419                                    1 0 1 1 
      37425                                    0 0 1 1 
      37426                                    1 1 0 1 
      37429                                    0 1 0 1 
      37431                                    1 0 0 1 
      37434                                    0 0 0 1 
      37435                                    1 1 1 0 
      37439                                    0 1 1 0 
      37441                                    1 0 1 0 
      37445                                    0 0 1 0 
      37446                                    1 1 0 0 
      37447                                    0 1 0 0 
      37448                                    1 0 0 0 
      37452                                    0 0 0 0 
      37454                                    1 1 1 1 
      37455                                    0 1 1 1 
      37457                                    1 0 1 1 
      37458                                    0 0 1 1 
      37460                                    1 1 0 1 
      37461                                    0 1 0 1 
      37462                                    1 0 0 1 
      37463                                    0 0 0 1 
      37466                                    1 1 1 0 
      37468                                    0 1 1 0 
      37470                                    1 0 1 0 
      37473                                    0 0 1 0 
      37474                                    1 1 0 0 
      37475                                    0 1 0 0 
      37477                                    1 0 0 0 
      37479                                    0 0 0 0 
      37480                                    1 1 1 1 
      37481                                    0 1 1 1 
      37482                                    1 0 1 1 
      37485                                    0 0 1 1 
      37486                                    1 1 0 1 
      37487                                    0 1 0 1 
      37488                                    1 0 0 1 
      37489                                    0 0 0 1 
      37491                                    1 1 1 0 
      37494                                    0 1 1 0 
      37496                                    1 0 1 0 
      37498                                    0 0 1 0 
      37499                                    1 1 0 0 
      37500                                    0 1 0 0 
      37502                                    1 0 0 0 
      37504                                    0 0 0 0 
      37505                                    1 1 1 1 
      37506                                    0 1 1 1 
      37507                                    1 0 1 1 
      37508                                    0 0 1 1 
      37509                                    1 1 0 1 
      37515                                    0 1 0 1 
      37517                                    1 0 0 1 
      37518                                    0 0 0 1 
      37520                                    1 1 1 0 
      37522                                    0 1 1 0 
      37524                                    1 0 1 0 
      37527                                    0 0 1 0 
      37533                                    1 1 0 0 
      37536                                    0 1 0 0 
      37539                                    1 0 0 0 
      37540                                    0 0 0 0 
      37541                                    1 1 1 1 
      37545                                    0 1 1 1 
      37546                                    1 0 1 1 
      37548                                    0 0 1 1 
      37550                                    1 1 0 1 
      37551                                    0 1 0 1 
      37552                                    1 0 0 1 
      37555                                    0 0 0 1 
      37558                                    1 1 1 0 
      37562                                    0 1 1 0 
      37565                                    1 0 1 0 
      37566                                    0 0 1 0 
      37569                                    1 1 0 0 
      37570                                    0 1 0 0 
      37575                                    1 0 0 0 
      37576                                    0 0 0 0 
      37577                                    1 1 1 1 
      37584                                    0 1 1 1 
      37586                                    1 0 1 1 
      37589                                    0 0 1 1 
      37593                                    1 1 0 1 
      37594                                    0 1 0 1 
      37595                                    1 0 0 1 
      37597                                    0 0 0 1 
      37598                                    1 1 1 0 
      37599                                    0 1 1 0 
      37600                                    1 0 1 0 
      37601                                    0 0 1 0 
      37604                                    1 1 0 0 
      37608                                    0 1 0 0 
      37609                                    1 0 0 0 
      37610                                    0 0 0 0 
      37612                                    1 1 1 1 
      37614                                    0 1 1 1 
      37619                                    1 0 1 1 
      37621                                    0 0 1 1 
      37625                                    1 1 0 1 
      37626                                    0 1 0 1 
      37627                                    1 0 0 1 
      37629                                    0 0 0 1 
      37631                                    1 1 1 0 
      37632                                    0 1 1 0 
      37633                                    1 0 1 0 
      37634                                    0 0 1 0 
      37637                                    1 1 0 0 
      37638                                    0 1 0 0 
      37639                                    1 0 0 0 
      37640                                    0 0 0 0 
      37641                                    1 1 1 1 
      37642                                    0 1 1 1 
      37643                                    1 0 1 1 
      37644                                    0 0 1 1 
      37646                                    1 1 0 1 
      37650                                    0 1 0 1 
      37652                                    1 0 0 1 
      37653                                    0 0 0 1 
      37656                                    1 1 1 0 
      37657                                    0 1 1 0 
      37659                                    1 0 1 0 
      37661                                    0 0 1 0 
      37662                                    1 1 0 0 
      37663                                    0 1 0 0 
      37664                                    1 0 0 0 
      37668                                    0 0 0 0 
      37670                                    1 1 1 1 
      37671                                    0 1 1 1 
      37674                                    1 0 1 1 
      37675                                    0 0 1 1 
      37676                                    1 1 0 1 
      37679                                    0 1 0 1 
      37684                                    1 0 0 1 
      37687                                    0 0 0 1 
      37689                                    1 1 1 0 
      37690                                    0 1 1 0 
      37692                                    1 0 1 0 
      37693                                    0 0 1 0 
      37694                                    1 1 0 0 
      37696                                    0 1 0 0 
      37697                                    1 0 0 0 
      37699                                    0 0 0 0 
      37700                                    1 1 1 1 
      37701                                    0 1 1 1 
      37702                                    1 0 1 1 
      37704                                    0 0 1 1 
      37707                                    1 1 0 1 
      37709                                    0 1 0 1 
      37712                                    1 0 0 1 
      37714                                    0 0 0 1 
      37717                                    1 1 1 0 
      37721                                    0 1 1 0 
      37722                                    1 0 1 0 
      37725                                    0 0 1 0 
      37727                                    1 1 0 0 
      37728                                    0 1 0 0 
      37729                                    1 0 0 0 
      37730                                    0 0 0 0 
      37734                                    1 1 1 1 
      37736                                    0 1 1 1 
      37737                                    1 0 1 1 
      37743                                    0 0 1 1 
      37744                                    1 1 0 1 
      37745                                    0 1 0 1 
      37747                                    1 0 0 1 
      37749                                    0 0 0 1 
      37750                                    1 1 1 0 
      37751                                    0 1 1 0 
      37752                                    1 0 1 0 
      37753                                    0 0 1 0 
      37754                                    1 1 0 0 
      37757                                    0 1 0 0 
      37760                                    1 0 0 0 
      37762                                    0 0 0 0 
      37763                                    1 1 1 1 
      37766                                    0 1 1 1 
      37767                                    1 0 1 1 
      37768                                    0 0 1 1 
      37771                                    1 1 0 1 
      37772                                    0 1 0 1 
      37775                                    1 0 0 1 
      37778                                    0 0 0 1 
      37780                                    1 1 1 0 
      37782                                    0 1 1 0 
      37785                                    1 0 1 0 
      37786                                    0 0 1 0 
      37787                                    1 1 0 0 
      37790                                    0 1 0 0 
      37791                                    1 0 0 0 
      37792                                    0 0 0 0 
      37793                                    1 1 1 1 
      37794                                    0 1 1 1 
      37796                                    1 0 1 1 
      37797                                    0 0 1 1 
      37800                                    1 1 0 1 
      37802                                    0 1 0 1 
      37804                                    1 0 0 1 
      37806                                    0 0 0 1 
      37810                                    1 1 1 0 
      37813                                    0 1 1 0 
      37814                                    1 0 1 0 
      37815                                    0 0 1 0 
      37816                                    1 1 0 0 
      37817                                    0 1 0 0 
      37818                                    1 0 0 0 
      37820                                    0 0 0 0 
      37822                                    1 1 1 1 
      37823                                    0 1 1 1 
      37826                                    1 0 1 1 
      37827                                    0 0 1 1 
      37828                                    1 1 0 1 
      37832                                    0 1 0 1 
      37833                                    1 0 0 1 
      37836                                    0 0 0 1 
      37838                                    1 1 1 0 
      37840                                    0 1 1 0 
      37842                                    1 0 1 0 
      37843                                    0 0 1 0 
      37844                                    1 1 0 0 
      37847                                    0 1 0 0 
      37848                                    1 0 0 0 
      37852                                    0 0 0 0 
      37853                                    1 1 1 1 
      37854                                    0 1 1 1 
      37856                                    1 0 1 1 
      37857                                    0 0 1 1 
      37860                                    1 1 0 1 
      37861                                    0 1 0 1 
      37862                                    1 0 0 1 
      37863                                    0 0 0 1 
      37864                                    1 1 1 0 
      37866                                    0 1 1 0 
      37867                                    1 0 1 0 
      37869                                    0 0 1 0 
      37871                                    1 1 0 0 
      37873                                    0 1 0 0 
      37874                                    1 0 0 0 
      37876                                    0 0 0 0 
      37878                                    1 1 1 1 
      37883                                    0 1 1 1 
      37884                                    1 0 1 1 
      37886                                    0 0 1 1 
      37887                                    1 1 0 1 
      37889                                    0 1 0 1 
      37891                                    1 0 0 1 
      37892                                    0 0 0 1 
      37898                                    1 1 1 0 
      37899                                    0 1 1 0 
      37901                                    1 0 1 0 
      37902                                    0 0 1 0 
      37903                                    1 1 0 0 
      37905                                    0 1 0 0 
      37908                                    1 0 0 0 
      37910                                    0 0 0 0 
      37912                                    1 1 1 1 
      37913                                    0 1 1 1 
      37914                                    1 0 1 1 
      37915                                    0 0 1 1 
