         ps   /test_counter_3bit_asydown/button1            
                   /test_counter_3bit_asydown/led1          
                     /test_counter_3bit_asydown/led2        
                       /test_counter_3bit_asydown/led3      
        801                                    1 1 1 1 
        802                                    0 1 1 1 
        806                                    1 0 1 1 
        807                                    0 0 1 1 
        809                                    1 1 0 1 
        810                                    0 1 0 1 
        812                                    1 0 0 1 
        813                                    0 0 0 1 
        816                                    1 1 1 0 
        822                                    0 1 1 0 
        823                                    1 0 1 0 
        824                                    0 0 1 0 
        825                                    1 1 0 0 
        827                                    0 1 0 0 
        833                                    1 0 0 0 
        836                                    0 0 0 0 
        838                                    1 1 1 1 
        840                                    0 1 1 1 
        842                                    1 0 1 1 
        843                                    0 0 1 1 
        845                                    1 1 0 1 
        846                                    0 1 0 1 
        847                                    1 0 0 1 
        848                                    0 0 0 1 
        851                                    1 1 1 0 
        853                                    0 1 1 0 
        855                                    1 0 1 0 
        861                                    0 0 1 0 
        862                                    1 1 0 0 
        863                                    0 1 0 0 
        864                                    1 0 0 0 
        866                                    0 0 0 0 
        869                                    1 1 1 1 
        872                                    0 1 1 1 
        875                                    1 0 1 1 
        876                                    0 0 1 1 
        881                                    1 1 0 1 
        884                                    0 1 0 1 
        888                                    1 0 0 1 
        889                                    0 0 0 1 
        892                                    1 1 1 0 
        894                                    0 1 1 0 
        895                                    1 0 1 0 
        897                                    0 0 1 0 
        898                                    1 1 0 0 
        902                                    0 1 0 0 
        903                                    1 0 0 0 
        906                                    0 0 0 0 
        907                                    1 1 1 1 
        908                                    0 1 1 1 
        910                                    1 0 1 1 
        911                                    0 0 1 1 
        915                                    1 1 0 1 
        920                                    0 1 0 1 
        925                                    1 0 0 1 
        926                                    0 0 0 1 
        929                                    1 1 1 0 
        931                                    0 1 1 0 
        934                                    1 0 1 0 
        935                                    0 0 1 0 
        936                                    1 1 0 0 
        938                                    0 1 0 0 
        939                                    1 0 0 0 
        941                                    0 0 0 0 
        943                                    1 1 1 1 
        946                                    0 1 1 1 
        947                                    1 0 1 1 
        948                                    0 0 1 1 
        950                                    1 1 0 1 
        951                                    0 1 0 1 
        954                                    1 0 0 1 
        956                                    0 0 0 1 
        961                                    1 1 1 0 
        962                                    0 1 1 0 
        963                                    1 0 1 0 
        964                                    0 0 1 0 
        967                                    1 1 0 0 
        971                                    0 1 0 0 
        972                                    1 0 0 0 
        975                                    0 0 0 0 
        977                                    1 1 1 1 
        978                                    0 1 1 1 
        979                                    1 0 1 1 
        983                                    0 0 1 1 
        987                                    1 1 0 1 
        989                                    0 1 0 1 
        995                                    1 0 0 1 
        998                                    0 0 0 1 
       1000                                    1 1 1 0 
       1002                                    0 1 1 0 
       1006                                    1 0 1 0 
       1007                                    0 0 1 0 
       1009                                    1 1 0 0 
       1014                                    0 1 0 0 
